motif	tf.gene	tf.ensg
MA0125.1	DUX4	ENSG00000260596
MA0125.1	VSX1	ENSG00000100987
MA0125.1	VSX2	ENSG00000119614
MA0125.1	TPRX1	ENSG00000178928
MA0125.1	SHOX2	ENSG00000168779
MA0125.1	RHOXF1	ENSG00000101883
MA0125.1	RHOXF2	ENSG00000131721
MA0125.1	RHOXF2B	ENSG00000203989
MA0125.1	RAX2	ENSG00000173976
MA0125.1	PRRX1	ENSG00000116132
MA0125.1	PRRX2	ENSG00000167157
MA0125.1	PROP1	ENSG00000175325
MA0125.1	PITX1	ENSG00000069011
MA0125.1	PITX2	ENSG00000164093
MA0125.1	PITX3	ENSG00000107859
MA0125.1	PHOX2A	ENSG00000165462
MA0125.1	PHOX2B	ENSG00000109132
MA0125.1	OTX1	ENSG00000115507
MA0125.1	OTX2	ENSG00000165588
MA0125.1	CRX	ENSG00000105392
MA0125.1	MIXL1	ENSG00000185155
MA0125.1	HESX1	ENSG00000163666
MA0125.1	ALX1	ENSG00000180318
MA0125.1	ALX3	ENSG00000156150
MA0125.1	ALX4	ENSG00000052850
MA0125.1	ELF3	ENSG00000163435
MA0132.2	CDX1	ENSG00000113722
MA0132.2	CDX2	ENSG00000165556
MA0132.2	CDX4	ENSG00000131264
MA0132.2	HOXA9	ENSG00000078399
MA0132.2	HOXD11	ENSG00000128713
MA0132.2	HOXC12	ENSG00000123407
MA0132.2	HOXD12	ENSG00000170178
MA0132.2	HOXA13	ENSG00000106031
MA0132.2	HOXB13	ENSG00000159184
MA0132.2	HOXC13	ENSG00000123364
MA0132.2	HOXD13	ENSG00000128714
MA0132.2	HOXB9	ENSG00000170689
MA0132.2	HOXC9	ENSG00000180806
MA0132.2	HOXD9	ENSG00000128709
MA0132.2	HOXA10	ENSG00000253293
MA0132.2	HOXC10	ENSG00000180818
MA0132.2	HOXD10	ENSG00000128710
MA0132.2	HOXA11	ENSG00000005073
MA0132.2	HOXC11	ENSG00000123388
MA0132.2	HOXB8	ENSG00000120068
MA0132.2	HOXC8	ENSG00000037965
MA0132.2	HOXD8	ENSG00000175879
MA0132.2	HOXA6	ENSG00000106006
MA0132.2	HOXB6	ENSG00000108511
MA0132.2	HOXC6	ENSG00000197757
MA0132.2	HOXA7	ENSG00000122592
MA0132.2	HOXB7	ENSG00000260027
MA0132.2	HOXA5	ENSG00000106004
MA0132.2	HOXB5	ENSG00000120075
MA0132.2	HOXC5	ENSG00000172789
MA0132.2	HOXA4	ENSG00000197576
MA0132.2	HOXB4	ENSG00000182742
MA0132.2	HOXC4	ENSG00000198353
MA0132.2	HOXD4	ENSG00000170166
MA0132.2	HOXA3	ENSG00000105997
MA0132.2	HOXB3	ENSG00000120093
MA0132.2	HOXD3	ENSG00000128652
MA0132.2	HOXA2	ENSG00000105996
MA0132.2	HOXB2	ENSG00000173917
MA0132.2	MEOX1	ENSG00000005102
MA0132.2	MEOX2	ENSG00000106511
MA0132.2	MNX1	ENSG00000130675
MA0132.2	GSX1	ENSG00000169840
MA0132.2	GSX2	ENSG00000180613
MA0132.2	GBX1	ENSG00000164900
MA0132.2	GBX2	ENSG00000168505
MA0132.2	EVX1	ENSG00000106038
MA0132.2	EVX2	ENSG00000174279
MA0132.2	HOXA1	ENSG00000105991
MA0132.2	HOXB1	ENSG00000120094
MA0132.2	HOXD1	ENSG00000128645
MA0135.1	LHX6	ENSG00000106852
MA0135.1	LHX8	ENSG00000162624
MA0135.1	LHX4	ENSG00000121454
MA0135.1	LHX2	ENSG00000106689
MA0135.1	LHX9	ENSG00000143355
MA0135.1	LHX1	ENSG00000273706
MA0135.1	LHX5	ENSG00000089116
MA0135.1	ISL1	ENSG00000016082
MA0135.1	ISL2	ENSG00000159556
MA0136.2	SPDEF	ENSG00000124664
MA0136.2	ETV6	ENSG00000139083
MA0136.2	ETV7	ENSG00000010030
MA0136.2	SPIB	ENSG00000269404
MA0136.2	SPIC	ENSG00000166211
MA0136.2	EHF	ENSG00000135373
MA0136.2	ELF3	ENSG00000163435
MA0136.2	ELF1	ENSG00000120690
MA0136.2	ELF2	ENSG00000109381
MA0136.2	ELF4	ENSG00000102034
MA0136.2	ELK1	ENSG00000126767
MA0136.2	ELK3	ENSG00000111145
MA0136.2	ELK4	ENSG00000158711
MA0136.2	ETV1	ENSG00000006468
MA0136.2	ETV4	ENSG00000175832
MA0136.2	ETV5	ENSG00000244405
MA0136.2	ERF	ENSG00000105722
MA0136.2	ETV2	ENSG00000105672
MA0136.2	FLI1	ENSG00000151702
MA0136.2	ERG	ENSG00000157554
MA0136.2	FEV	ENSG00000163497
MA0136.2	ETV3	ENSG00000117036
MA0136.2	ETV3L	ENSG00000253831
MA0137.3	STAT2	ENSG00000170581
MA0137.3	STAT3	ENSG00000168610
MA0137.3	STAT4	ENSG00000138378
MA0137.3	STAT5A	ENSG00000126561
MA0137.3	STAT5B	ENSG00000173757
MA0137.3	STAT6	ENSG00000166888
MA0140.2	GATAD1	ENSG00000157259
MA0140.2	DNMT3B	ENSG00000088305
MA0140.2	DNMT3L	ENSG00000142182
MA0140.2	ATRX	ENSG00000085224
MA0140.2	TRPS1	ENSG00000104447
MA0140.2	RERE	ENSG00000142599
MA0140.2	MTA1	ENSG00000182979
MA0140.2	MTA2	ENSG00000149480
MA0140.2	MTA3	ENSG00000057935
MA0140.2	ZGLP1	ENSG00000220201
MA0140.2	DNMT3A	ENSG00000119772
MA0140.2	GATA2	ENSG00000179348
MA0140.2	GATA3	ENSG00000107485
MA0140.2	GATA4	ENSG00000136574
MA0140.2	GATA5	ENSG00000130700
MA0140.2	GATA6	ENSG00000141448
MA0140.2	BHLHA9	ENSG00000205899
MA0140.2	NEUROD1	ENSG00000162992
MA0140.2	BHLHE22	ENSG00000180828
MA0140.2	BHLHE23	ENSG00000125533
MA0140.2	NEUROD2	ENSG00000171532
MA0140.2	NEUROD4	ENSG00000123307
MA0140.2	NEUROD6	ENSG00000164600
MA0140.2	MESP1	ENSG00000166823
MA0140.2	MESP2	ENSG00000188095
MA0140.2	TCF23	ENSG00000163792
MA0140.2	TWIST1	ENSG00000122691
MA0140.2	TWIST2	ENSG00000233608
MA0140.2	HAND1	ENSG00000113196
MA0140.2	HAND2	ENSG00000164107
MA0140.2	SCX	ENSG00000260428
MA0140.2	PTF1A	ENSG00000168267
MA0140.2	TAL2	ENSG00000186051
MA0140.2	LYL1	ENSG00000104903
MA0140.2	NHLH1	ENSG00000171786
MA0140.2	NHLH2	ENSG00000177551
MA0141.3	ESR1	ENSG00000091831
MA0141.3	ESR2	ENSG00000140009
MA0141.3	ESRRA	ENSG00000173153
MA0141.3	ESRRG	ENSG00000196482
MA0141.3	NR3C1	ENSG00000113580
MA0141.3	NR3C2	ENSG00000151623
MA0141.3	PGR	ENSG00000082175
MA0141.3	AR	ENSG00000169083
MA0142.1	HDX	ENSG00000165259
MA0142.1	HMBOX1	ENSG00000147421
MA0142.1	POU6F1	ENSG00000184271
MA0142.1	POU6F2	ENSG00000106536
MA0142.1	POU5F2	ENSG00000248483
MA0142.1	POU4F1	ENSG00000152192
MA0142.1	POU4F2	ENSG00000151615
MA0142.1	POU4F3	ENSG00000091010
MA0142.1	POU3F1	ENSG00000185668
MA0142.1	POU3F2	ENSG00000184486
MA0142.1	POU3F3	ENSG00000198914
MA0142.1	POU3F4	ENSG00000196767
MA0142.1	POU2F1	ENSG00000143190
MA0142.1	POU2F2	ENSG00000028277
MA0142.1	POU2F3	ENSG00000137709
MA0142.1	POU1F1	ENSG00000064835
MA0142.1	SOX30	ENSG00000039600
MA0142.1	SOX15	ENSG00000129194
MA0142.1	SOX7	ENSG00000171056
MA0142.1	SOX17	ENSG00000164736
MA0142.1	SOX18	ENSG00000203883
MA0142.1	SOX8	ENSG00000005513
MA0142.1	SOX9	ENSG00000125398
MA0142.1	SOX10	ENSG00000100146
MA0142.1	SOX5	ENSG00000134532
MA0142.1	SOX6	ENSG00000110693
MA0142.1	SOX13	ENSG00000143842
MA0142.1	SOX4	ENSG00000124766
MA0142.1	SOX11	ENSG00000176887
MA0142.1	SOX12	ENSG00000177732
MA0142.1	SOX1	ENSG00000182968
MA0142.1	SOX3	ENSG00000134595
MA0142.1	SOX14	ENSG00000168875
MA0142.1	SOX21	ENSG00000125285
MA0142.1	SRY	ENSG00000184895
MA0143.3	SOX30	ENSG00000039600
MA0143.3	SOX15	ENSG00000129194
MA0143.3	SOX7	ENSG00000171056
MA0143.3	SOX17	ENSG00000164736
MA0143.3	SOX18	ENSG00000203883
MA0143.3	SOX8	ENSG00000005513
MA0143.3	SOX9	ENSG00000125398
MA0143.3	SOX10	ENSG00000100146
MA0143.3	SOX5	ENSG00000134532
MA0143.3	SOX6	ENSG00000110693
MA0143.3	SOX13	ENSG00000143842
MA0143.3	SOX4	ENSG00000124766
MA0143.3	SOX11	ENSG00000176887
MA0143.3	SOX12	ENSG00000177732
MA0143.3	SOX1	ENSG00000182968
MA0143.3	SOX3	ENSG00000134595
MA0143.3	SOX14	ENSG00000168875
MA0143.3	SOX21	ENSG00000125285
MA0143.3	SRY	ENSG00000184895
MA0144.2	STAT1	ENSG00000115415
MA0144.2	STAT2	ENSG00000170581
MA0144.2	STAT4	ENSG00000138378
MA0144.2	STAT5A	ENSG00000126561
MA0144.2	STAT5B	ENSG00000173757
MA0144.2	STAT6	ENSG00000166888
MA0148.3	FOXI1	ENSG00000168269
MA0148.3	FOXI2	ENSG00000186766
MA0148.3	FOXI3	ENSG00000214336
MA0148.3	FOXH1	ENSG00000160973
MA0148.3	FOXG1	ENSG00000176165
MA0148.3	FOXF1	ENSG00000103241
MA0148.3	FOXF2	ENSG00000137273
MA0148.3	FOXE1	ENSG00000178919
MA0148.3	FOXE3	ENSG00000186790
MA0148.3	FOXD1	ENSG00000251493
MA0148.3	FOXD4L6	ENSG00000273514
MA0148.3	FOXD2	ENSG00000186564
MA0148.3	FOXD3	ENSG00000187140
MA0148.3	FOXD4	ENSG00000170122
MA0148.3	FOXD4L1	ENSG00000184492
MA0148.3	FOXD4L3	ENSG00000187559
MA0148.3	FOXD4L4	ENSG00000184659
MA0148.3	FOXD4L5	ENSG00000204779
MA0148.3	FOXC1	ENSG00000054598
MA0148.3	FOXC2	ENSG00000176692
MA0148.3	FOXB1	ENSG00000171956
MA0148.3	FOXB2	ENSG00000204612
MA0148.3	FOXS1	ENSG00000179772
MA0148.3	FOXR1	ENSG00000176302
MA0148.3	FOXR2	ENSG00000189299
MA0148.3	FOXQ1	ENSG00000164379
MA0148.3	FOXP1	ENSG00000114861
MA0148.3	FOXP2	ENSG00000128573
MA0148.3	FOXP3	ENSG00000049768
MA0148.3	FOXP4	ENSG00000137166
MA0148.3	FOXO1	ENSG00000150907
MA0148.3	FOXO3	ENSG00000118689
MA0148.3	FOXO4	ENSG00000184481
MA0148.3	FOXO6	ENSG00000204060
MA0148.3	FOXN1	ENSG00000109101
MA0148.3	FOXN2	ENSG00000170802
MA0148.3	FOXN3	ENSG00000053254
MA0148.3	FOXN4	ENSG00000139445
MA0148.3	FOXM1	ENSG00000111206
MA0148.3	FOXL1	ENSG00000176678
MA0148.3	FOXL2	ENSG00000183770
MA0148.3	FOXK1	ENSG00000164916
MA0148.3	FOXK2	ENSG00000141568
MA0148.3	FOXJ1	ENSG00000129654
MA0148.3	FOXJ2	ENSG00000065970
MA0148.3	FOXJ3	ENSG00000198815
MA0148.3	FOXA2	ENSG00000125798
MA0148.3	FOXA3	ENSG00000170608
MA0150.2	ATF2	ENSG00000115966
MA0150.2	ATF7	ENSG00000170653
MA0150.2	CREB5	ENSG00000146592
MA0150.2	NFE2L1	ENSG00000082641
MA0150.2	NFE2L3	ENSG00000050344
MA0150.2	BACH1	ENSG00000156273
MA0150.2	BACH2	ENSG00000112182
MA0150.2	JUNB	ENSG00000171223
MA0150.2	JUND	ENSG00000130522
MA0151.1	ARID2	ENSG00000189079
MA0151.1	JARID2	ENSG00000008083
MA0151.1	ARID5A	ENSG00000196843
MA0151.1	ARID5B	ENSG00000150347
MA0151.1	ARID4A	ENSG00000032219
MA0151.1	ARID4B	ENSG00000054267
MA0151.1	ARID3B	ENSG00000179361
MA0151.1	ARID3C	ENSG00000205143
MA0151.1	ARID1A	ENSG00000117713
MA0151.1	ARID1B	ENSG00000049618
MA0151.1	KDM5B	ENSG00000117139
MA0152.1	NFATC1	ENSG00000131196
MA0152.1	NFATC3	ENSG00000072736
MA0152.1	NFATC4	ENSG00000100968
MA0152.1	NFAT5	ENSG00000102908
MA0154.3	EBF2	ENSG00000221818
MA0154.3	EBF3	ENSG00000108001
MA0154.3	EBF4	ENSG00000088881
MA0156.2	SPDEF	ENSG00000124664
MA0156.2	ETV6	ENSG00000139083
MA0156.2	ETV7	ENSG00000010030
MA0156.2	SPIB	ENSG00000269404
MA0156.2	SPIC	ENSG00000166211
MA0156.2	EHF	ENSG00000135373
MA0156.2	ELF3	ENSG00000163435
MA0156.2	ELF5	ENSG00000135374
MA0156.2	ELF1	ENSG00000120690
MA0156.2	ELF2	ENSG00000109381
MA0156.2	ELF4	ENSG00000102034
MA0156.2	ELK1	ENSG00000126767
MA0156.2	ELK3	ENSG00000111145
MA0156.2	ELK4	ENSG00000158711
MA0156.2	ETV1	ENSG00000006468
MA0156.2	ETV4	ENSG00000175832
MA0156.2	ETV5	ENSG00000244405
MA0156.2	ERF	ENSG00000105722
MA0156.2	ETV2	ENSG00000105672
MA0156.2	FLI1	ENSG00000151702
MA0156.2	ERG	ENSG00000157554
MA0156.2	ETV3	ENSG00000117036
MA0156.2	ETV3L	ENSG00000253831
MA0157.2	FOXI1	ENSG00000168269
MA0157.2	FOXI2	ENSG00000186766
MA0157.2	FOXI3	ENSG00000214336
MA0157.2	FOXH1	ENSG00000160973
MA0157.2	FOXG1	ENSG00000176165
MA0157.2	FOXF1	ENSG00000103241
MA0157.2	FOXF2	ENSG00000137273
MA0157.2	FOXE1	ENSG00000178919
MA0157.2	FOXE3	ENSG00000186790
MA0157.2	FOXD1	ENSG00000251493
MA0157.2	FOXD4L6	ENSG00000273514
MA0157.2	FOXD2	ENSG00000186564
MA0157.2	FOXD3	ENSG00000187140
MA0157.2	FOXD4	ENSG00000170122
MA0157.2	FOXD4L1	ENSG00000184492
MA0157.2	FOXD4L3	ENSG00000187559
MA0157.2	FOXD4L4	ENSG00000184659
MA0157.2	FOXD4L5	ENSG00000204779
MA0157.2	FOXC1	ENSG00000054598
MA0157.2	FOXC2	ENSG00000176692
MA0157.2	FOXB1	ENSG00000171956
MA0157.2	FOXB2	ENSG00000204612
MA0157.2	FOXS1	ENSG00000179772
MA0157.2	FOXR1	ENSG00000176302
MA0157.2	FOXR2	ENSG00000189299
MA0157.2	FOXQ1	ENSG00000164379
MA0157.2	FOXP1	ENSG00000114861
MA0157.2	FOXP2	ENSG00000128573
MA0157.2	FOXP3	ENSG00000049768
MA0157.2	FOXP4	ENSG00000137166
MA0157.2	FOXO1	ENSG00000150907
MA0157.2	FOXO4	ENSG00000184481
MA0157.2	FOXO6	ENSG00000204060
MA0157.2	FOXN1	ENSG00000109101
MA0157.2	FOXN2	ENSG00000170802
MA0157.2	FOXN3	ENSG00000053254
MA0157.2	FOXN4	ENSG00000139445
MA0157.2	FOXM1	ENSG00000111206
MA0157.2	FOXL1	ENSG00000176678
MA0157.2	FOXL2	ENSG00000183770
MA0157.2	FOXK1	ENSG00000164916
MA0157.2	FOXK2	ENSG00000141568
MA0157.2	FOXJ1	ENSG00000129654
MA0157.2	FOXJ2	ENSG00000065970
MA0157.2	FOXJ3	ENSG00000198815
MA0157.2	FOXA1	ENSG00000129514
MA0157.2	FOXA2	ENSG00000125798
MA0157.2	FOXA3	ENSG00000170608
MA0158.1	CDX1	ENSG00000113722
MA0158.1	CDX2	ENSG00000165556
MA0158.1	CDX4	ENSG00000131264
MA0158.1	HOXA9	ENSG00000078399
MA0158.1	HOXD11	ENSG00000128713
MA0158.1	HOXC12	ENSG00000123407
MA0158.1	HOXD12	ENSG00000170178
MA0158.1	HOXA13	ENSG00000106031
MA0158.1	HOXB13	ENSG00000159184
MA0158.1	HOXC13	ENSG00000123364
MA0158.1	HOXD13	ENSG00000128714
MA0158.1	HOXB9	ENSG00000170689
MA0158.1	HOXC9	ENSG00000180806
MA0158.1	HOXD9	ENSG00000128709
MA0158.1	HOXA10	ENSG00000253293
MA0158.1	HOXC10	ENSG00000180818
MA0158.1	HOXD10	ENSG00000128710
MA0158.1	HOXA11	ENSG00000005073
MA0158.1	HOXC11	ENSG00000123388
MA0158.1	HOXB8	ENSG00000120068
MA0158.1	HOXC8	ENSG00000037965
MA0158.1	HOXD8	ENSG00000175879
MA0158.1	HOXA6	ENSG00000106006
MA0158.1	HOXB6	ENSG00000108511
MA0158.1	HOXC6	ENSG00000197757
MA0158.1	HOXA7	ENSG00000122592
MA0158.1	HOXB7	ENSG00000260027
MA0158.1	HOXB5	ENSG00000120075
MA0158.1	HOXC5	ENSG00000172789
MA0158.1	HOXA4	ENSG00000197576
MA0158.1	HOXB4	ENSG00000182742
MA0158.1	HOXC4	ENSG00000198353
MA0158.1	HOXD4	ENSG00000170166
MA0158.1	HOXA3	ENSG00000105997
MA0158.1	HOXB3	ENSG00000120093
MA0158.1	HOXD3	ENSG00000128652
MA0158.1	HOXA2	ENSG00000105996
MA0158.1	HOXB2	ENSG00000173917
MA0158.1	PDX1	ENSG00000139515
MA0158.1	MEOX1	ENSG00000005102
MA0158.1	MEOX2	ENSG00000106511
MA0158.1	MNX1	ENSG00000130675
MA0158.1	GSX1	ENSG00000169840
MA0158.1	GSX2	ENSG00000180613
MA0158.1	GBX1	ENSG00000164900
MA0158.1	GBX2	ENSG00000168505
MA0158.1	EVX1	ENSG00000106038
MA0158.1	EVX2	ENSG00000174279
MA0158.1	HOXA1	ENSG00000105991
MA0158.1	HOXB1	ENSG00000120094
MA0158.1	HOXD1	ENSG00000128645
MA0161.1	NFIA	ENSG00000162599
MA0161.1	NFIB	ENSG00000147862
MA0161.1	NFIX	ENSG00000008441
MA0162.2	EGR2	ENSG00000122877
MA0162.2	EGR3	ENSG00000179388
MA0162.2	EGR4	ENSG00000135625
MA0162.2	KLF1	ENSG00000105610
MA0162.2	KLF10	ENSG00000155090
MA0162.2	KLF11	ENSG00000172059
MA0162.2	KLF12	ENSG00000118922
MA0162.2	KLF13	ENSG00000169926
MA0162.2	KLF14	ENSG00000266265
MA0162.2	KLF15	ENSG00000163884
MA0162.2	KLF16	ENSG00000129911
MA0162.2	KLF17	ENSG00000171872
MA0162.2	KLF2	ENSG00000127528
MA0162.2	KLF3	ENSG00000109787
MA0162.2	KLF4	ENSG00000136826
MA0162.2	KLF5	ENSG00000102554
MA0162.2	KLF6	ENSG00000067082
MA0162.2	KLF7	ENSG00000118263
MA0162.2	KLF8	ENSG00000102349
MA0162.2	KLF9	ENSG00000119138
MA0162.2	SP1	ENSG00000185591
MA0162.2	SP2	ENSG00000167182
MA0162.2	SP3	ENSG00000172845
MA0162.2	SP4	ENSG00000105866
MA0162.2	SP5	ENSG00000204335
MA0162.2	SP6	ENSG00000189120
MA0162.2	SP7	ENSG00000170374
MA0162.2	SP8	ENSG00000164651
MA0162.2	SP9	ENSG00000217236
MA0258.2	ESR1	ENSG00000091831
MA0258.2	ESRRA	ENSG00000173153
MA0258.2	ESRRB	ENSG00000119715
MA0258.2	ESRRG	ENSG00000196482
MA0258.2	NR3C1	ENSG00000113580
MA0258.2	NR3C2	ENSG00000151623
MA0258.2	PGR	ENSG00000082175
MA0258.2	AR	ENSG00000169083
MA0259.1	NPAS4	ENSG00000174576
MA0259.1	SOHLH1	ENSG00000165643
MA0259.1	SOHLH2	ENSG00000120669
MA0259.1	TCFL5	ENSG00000101190
MA0259.1	NCOA1	ENSG00000084676
MA0259.1	NCOA2	ENSG00000140396
MA0259.1	NCOA3	ENSG00000124151
MA0259.1	ARNT2	ENSG00000172379
MA0259.1	ARNTL	ENSG00000133794
MA0259.1	ARNTL2	ENSG00000029153
MA0259.1	CLOCK	ENSG00000134852
MA0259.1	NPAS2	ENSG00000170485
MA0259.1	AHR	ENSG00000106546
MA0259.1	AHRR	ENSG00000063438
MA0259.1	SIM1	ENSG00000112246
MA0259.1	SIM2	ENSG00000159263
MA0259.1	EPAS1	ENSG00000116016
MA0259.1	NPAS1	ENSG00000130751
MA0259.1	NPAS3	ENSG00000151322
MA0442.1	SOX30	ENSG00000039600
MA0442.1	SOX15	ENSG00000129194
MA0442.1	SOX7	ENSG00000171056
MA0442.1	SOX17	ENSG00000164736
MA0442.1	SOX18	ENSG00000203883
MA0442.1	SOX8	ENSG00000005513
MA0442.1	SOX9	ENSG00000125398
MA0442.1	SOX5	ENSG00000134532
MA0442.1	SOX6	ENSG00000110693
MA0442.1	SOX13	ENSG00000143842
MA0442.1	SOX4	ENSG00000124766
MA0442.1	SOX11	ENSG00000176887
MA0442.1	SOX12	ENSG00000177732
MA0442.1	SOX1	ENSG00000182968
MA0442.1	SOX2	ENSG00000181449
MA0442.1	SOX3	ENSG00000134595
MA0442.1	SOX14	ENSG00000168875
MA0442.1	SOX21	ENSG00000125285
MA0442.1	SRY	ENSG00000184895
MA0462.1	BATF2	ENSG00000168062
MA0462.1	BATF3	ENSG00000123685
MA0465.1	CDX1	ENSG00000113722
MA0465.1	CDX4	ENSG00000131264
MA0465.1	HOXA9	ENSG00000078399
MA0465.1	HOXD11	ENSG00000128713
MA0465.1	HOXC12	ENSG00000123407
MA0465.1	HOXD12	ENSG00000170178
MA0465.1	HOXA13	ENSG00000106031
MA0465.1	HOXB13	ENSG00000159184
MA0465.1	HOXC13	ENSG00000123364
MA0465.1	HOXD13	ENSG00000128714
MA0465.1	HOXB9	ENSG00000170689
MA0465.1	HOXC9	ENSG00000180806
MA0465.1	HOXD9	ENSG00000128709
MA0465.1	HOXA10	ENSG00000253293
MA0465.1	HOXC10	ENSG00000180818
MA0465.1	HOXD10	ENSG00000128710
MA0465.1	HOXA11	ENSG00000005073
MA0465.1	HOXC11	ENSG00000123388
MA0465.1	HOXB8	ENSG00000120068
MA0465.1	HOXC8	ENSG00000037965
MA0465.1	HOXD8	ENSG00000175879
MA0465.1	HOXA6	ENSG00000106006
MA0465.1	HOXB6	ENSG00000108511
MA0465.1	HOXC6	ENSG00000197757
MA0465.1	HOXA7	ENSG00000122592
MA0465.1	HOXB7	ENSG00000260027
MA0465.1	HOXA5	ENSG00000106004
MA0465.1	HOXB5	ENSG00000120075
MA0465.1	HOXC5	ENSG00000172789
MA0465.1	HOXA4	ENSG00000197576
MA0465.1	HOXB4	ENSG00000182742
MA0465.1	HOXC4	ENSG00000198353
MA0465.1	HOXD4	ENSG00000170166
MA0465.1	HOXA3	ENSG00000105997
MA0465.1	HOXB3	ENSG00000120093
MA0465.1	HOXD3	ENSG00000128652
MA0465.1	HOXA2	ENSG00000105996
MA0465.1	HOXB2	ENSG00000173917
MA0465.1	PDX1	ENSG00000139515
MA0465.1	MEOX1	ENSG00000005102
MA0465.1	MEOX2	ENSG00000106511
MA0465.1	MNX1	ENSG00000130675
MA0465.1	GSX1	ENSG00000169840
MA0465.1	GSX2	ENSG00000180613
MA0465.1	GBX1	ENSG00000164900
MA0465.1	GBX2	ENSG00000168505
MA0465.1	EVX1	ENSG00000106038
MA0465.1	EVX2	ENSG00000174279
MA0465.1	HOXA1	ENSG00000105991
MA0465.1	HOXB1	ENSG00000120094
MA0465.1	HOXD1	ENSG00000128645
MA0467.1	HOPX	ENSG00000171476
MA0467.1	ISX	ENSG00000175329
MA0467.1	LEUTX	ENSG00000213921
MA0467.1	NOBOX	ENSG00000106410
MA0467.1	OTP	ENSG00000171540
MA0467.1	ARGFX	ENSG00000186103
MA0467.1	RAX	ENSG00000134438
MA0467.1	SEBOX	ENSG00000274529
MA0467.1	SHOX	ENSG00000185960
MA0467.1	UNCX	ENSG00000164853
MA0467.1	ARX	ENSG00000004848
MA0467.1	DPRX	ENSG00000204595
MA0467.1	DRGX	ENSG00000165606
MA0467.1	GSC	ENSG00000133937
MA0467.1	GSC2	ENSG00000063515
MA0467.1	ESX1	ENSG00000123576
MA0467.1	DUXA	ENSG00000258873
MA0467.1	DUX4	ENSG00000260596
MA0467.1	VSX1	ENSG00000100987
MA0467.1	VSX2	ENSG00000119614
MA0467.1	TPRX1	ENSG00000178928
MA0467.1	SHOX2	ENSG00000168779
MA0467.1	RHOXF1	ENSG00000101883
MA0467.1	RHOXF2	ENSG00000131721
MA0467.1	RHOXF2B	ENSG00000203989
MA0467.1	RAX2	ENSG00000173976
MA0467.1	PRRX1	ENSG00000116132
MA0467.1	PRRX2	ENSG00000167157
MA0467.1	PROP1	ENSG00000175325
MA0467.1	PITX1	ENSG00000069011
MA0467.1	PITX2	ENSG00000164093
MA0467.1	PITX3	ENSG00000107859
MA0467.1	PHOX2A	ENSG00000165462
MA0467.1	PHOX2B	ENSG00000109132
MA0467.1	OTX1	ENSG00000115507
MA0467.1	OTX2	ENSG00000165588
MA0467.1	MIXL1	ENSG00000185155
MA0467.1	HESX1	ENSG00000163666
MA0467.1	ALX1	ENSG00000180318
MA0467.1	ALX3	ENSG00000156150
MA0467.1	ALX4	ENSG00000052850
MA0467.1	ELF3	ENSG00000163435
MA0468.1	HOPX	ENSG00000171476
MA0468.1	ISX	ENSG00000175329
MA0468.1	LEUTX	ENSG00000213921
MA0468.1	NOBOX	ENSG00000106410
MA0468.1	OTP	ENSG00000171540
MA0468.1	ARGFX	ENSG00000186103
MA0468.1	RAX	ENSG00000134438
MA0468.1	SEBOX	ENSG00000274529
MA0468.1	SHOX	ENSG00000185960
MA0468.1	UNCX	ENSG00000164853
MA0468.1	ARX	ENSG00000004848
MA0468.1	DPRX	ENSG00000204595
MA0468.1	DRGX	ENSG00000165606
MA0468.1	GSC	ENSG00000133937
MA0468.1	GSC2	ENSG00000063515
MA0468.1	ESX1	ENSG00000123576
MA0468.1	DUXA	ENSG00000258873
MA0468.1	VSX1	ENSG00000100987
MA0468.1	VSX2	ENSG00000119614
MA0468.1	TPRX1	ENSG00000178928
MA0468.1	SHOX2	ENSG00000168779
MA0468.1	RHOXF1	ENSG00000101883
MA0468.1	RHOXF2	ENSG00000131721
MA0468.1	RHOXF2B	ENSG00000203989
MA0468.1	RAX2	ENSG00000173976
MA0468.1	PRRX1	ENSG00000116132
MA0468.1	PRRX2	ENSG00000167157
MA0468.1	PROP1	ENSG00000175325
MA0468.1	PITX1	ENSG00000069011
MA0468.1	PITX2	ENSG00000164093
MA0468.1	PITX3	ENSG00000107859
MA0468.1	PHOX2A	ENSG00000165462
MA0468.1	PHOX2B	ENSG00000109132
MA0468.1	OTX1	ENSG00000115507
MA0468.1	OTX2	ENSG00000165588
MA0468.1	CRX	ENSG00000105392
MA0468.1	MIXL1	ENSG00000185155
MA0468.1	HESX1	ENSG00000163666
MA0468.1	ALX1	ENSG00000180318
MA0468.1	ALX3	ENSG00000156150
MA0468.1	ALX4	ENSG00000052850
MA0468.1	ELF3	ENSG00000163435
MA0469.2	E2F1	ENSG00000101412
MA0469.2	E2F2	ENSG00000007968
MA0469.2	E2F4	ENSG00000205250
MA0469.2	E2F5	ENSG00000133740
MA0469.2	E2F6	ENSG00000169016
MA0469.2	E2F7	ENSG00000165891
MA0469.2	E2F8	ENSG00000129173
MA0470.1	E2F1	ENSG00000101412
MA0470.1	E2F2	ENSG00000007968
MA0470.1	E2F3	ENSG00000112242
MA0470.1	E2F5	ENSG00000133740
MA0470.1	E2F6	ENSG00000169016
MA0470.1	E2F7	ENSG00000165891
MA0470.1	E2F8	ENSG00000129173
MA0471.1	E2F1	ENSG00000101412
MA0471.1	E2F2	ENSG00000007968
MA0471.1	E2F3	ENSG00000112242
