motif	tf.gene	tf.ensg
MA0469.2	E2F3	ENSG00000112242
MA0470.1	E2F4	ENSG00000205250
MA0471.1	E2F6	ENSG00000169016
MA0472.2	EGR2	ENSG00000122877
MA0473.2	ELF1	ENSG00000120690
MA0474.2	ERG	ENSG00000157554
MA0475.2	FLI1	ENSG00000151702
MA0476.1	FOS	ENSG00000170345
MA0477.1	FOSL1	ENSG00000175592
MA0478.1	FOSL2	ENSG00000075426
MA0479.1	FOXH1	ENSG00000160973
MA0480.1	FOXO1	ENSG00000150907
MA0481.1	FOXP1	ENSG00000114861
MA0482.1	GATA4	ENSG00000136574
MA0483.1	GFI1B	ENSG00000165702
MA0484.1	HNF4G	ENSG00000164749
MA0485.1	HOXC9	ENSG00000180806
MA0486.2	HSF1	ENSG00000185122
MA0488.1	JUN	ENSG00000177606
MA0489.1	JUN	ENSG00000177606
MA0490.1	JUNB	ENSG00000171223
MA0491.1	JUND	ENSG00000130522
MA0492.1	JUND	ENSG00000130522
MA0493.1	KLF1	ENSG00000105610
MA0494.1	NR1H3	ENSG00000025434
MA0494.1	RXRA	ENSG00000186350
MA0495.1	MAFF	ENSG00000185022
MA0496.1	MAFK	ENSG00000198517
MA0497.1	MEF2C	ENSG00000081189
MA0498.2	MEIS1	ENSG00000143995
MA0499.1	MYOD1	ENSG00000129152
MA0500.1	MYOG	ENSG00000122180
MA0501.1	MAF	ENSG00000178573
MA0501.1	NFE2	ENSG00000123405
MA0502.1	NFYB	ENSG00000120837
MA0503.1	NKX2-5	ENSG00000183072
MA0504.1	NR2C2	ENSG00000177463
MA0505.1	NR5A2	ENSG00000116833
MA0506.1	NRF1	ENSG00000106459
MA0507.1	POU2F2	ENSG00000028277
MA0508.1	PRDM1	ENSG00000057657
MA0509.1	RFX1	ENSG00000132005
MA0510.2	RFX5	ENSG00000143390
MA0511.2	RUNX2	ENSG00000124813
MA0512.2	RXRA	ENSG00000186350
MA0513.1	SMAD2	ENSG00000175387
MA0513.1	SMAD3	ENSG00000166949
MA0513.1	SMAD4	ENSG00000141646
MA0514.1	SOX3	ENSG00000134595
MA0515.1	SOX6	ENSG00000110693
MA0516.1	SP2	ENSG00000167182
MA0517.1	STAT1	ENSG00000115415
MA0517.1	STAT2	ENSG00000170581
MA0518.1	STAT4	ENSG00000138378
MA0519.1	STAT5A	ENSG00000126561
MA0519.1	STAT5B	ENSG00000173757
MA0520.1	STAT6	ENSG00000166888
MA0521.1	TCF12	ENSG00000140262
MA0522.2	TCF3	ENSG00000071564
MA0523.1	TCF7L2	ENSG00000148737
MA0524.2	TFAP2C	ENSG00000087510
MA0525.2	TP63	ENSG00000073282
MA0526.1	USF2	ENSG00000105698
MA0527.1	ZBTB33	ENSG00000177485
MA0528.1	ZNF263	ENSG00000006194
MA0591.1	BACH1	ENSG00000156273
MA0591.1	MAFK	ENSG00000198517
MA0592.2	ESRRA	ENSG00000173153
MA0593.1	FOXP2	ENSG00000128573
MA0594.1	HOXA9	ENSG00000078399
MA0595.1	SREBF1	ENSG00000072310
MA0596.1	SREBF2	ENSG00000198911
MA0597.1	THAP1	ENSG00000131931
MA0598.2	EHF	ENSG00000135373
MA0599.1	KLF5	ENSG00000102554
MA0600.2	RFX2	ENSG00000087903
MA0601.1	ARID3B	ENSG00000179361
MA0602.1	ARID5A	ENSG00000196843
MA0603.1	ARNTL	ENSG00000133794
MA0604.1	ATF1	ENSG00000123268
MA0605.1	ATF3	ENSG00000162772
MA0606.1	NFAT5	ENSG00000102908
MA0607.1	BHLHA15	ENSG00000180535
MA0608.1	CREB3L2	ENSG00000182158
MA0609.1	CREM	ENSG00000095794
MA0610.1	DMRT3	ENSG00000064218
MA0612.1	EMX1	ENSG00000135638
MA0613.1	FOXG1	ENSG00000176165
MA0614.1	FOXJ2	ENSG00000065970
MA0615.1	GMEB1	ENSG00000162419
MA0616.1	HES2	ENSG00000069812
MA0617.1	ID2	ENSG00000115738
MA0618.1	LBX1	ENSG00000138136
MA0619.1	LIN54	ENSG00000189308
MA0620.1	MITF	ENSG00000187098
MA0622.1	MLXIP	ENSG00000175727
MA0623.1	NEUROG1	ENSG00000181965
MA0624.1	NFATC1	ENSG00000131196
MA0625.1	NFATC3	ENSG00000072736
MA0626.1	NPAS2	ENSG00000170485
MA0627.1	POU2F3	ENSG00000137709
MA0628.1	POU6F1	ENSG00000184271
MA0630.1	SHOX	ENSG00000185960
MA0631.1	SIX3	ENSG00000138083
MA0632.1	TCFL5	ENSG00000101190
MA0633.1	TWIST2	ENSG00000233608
MA0634.1	ALX3	ENSG00000156150
MA0635.1	BARHL2	ENSG00000143032
MA0636.1	BHLHE41	ENSG00000123095
MA0637.1	CENPB	ENSG00000125817
MA0638.1	CREB3	ENSG00000107175
MA0639.1	DBP	ENSG00000105516
MA0640.1	ELF3	ENSG00000163435
MA0641.1	ELF4	ENSG00000102034
MA0642.1	EN2	ENSG00000164778
MA0643.1	ESRRG	ENSG00000196482
MA0644.1	ESX1	ENSG00000123576
MA0645.1	ETV6	ENSG00000139083
MA0646.1	GCM1	ENSG00000137270
MA0647.1	GRHL1	ENSG00000134317
MA0648.1	GSC	ENSG00000133937
MA0649.1	HEY2	ENSG00000135547
MA0650.1	HOXA13	ENSG00000106031
MA0651.1	HOXC11	ENSG00000123388
MA0652.1	IRF8	ENSG00000140968
MA0653.1	IRF9	ENSG00000213928
MA0654.1	ISX	ENSG00000175329
MA0655.1	JDP2	ENSG00000140044
MA0656.1	JDP2	ENSG00000140044
MA0657.1	KLF13	ENSG00000169926
MA0658.1	LHX6	ENSG00000106852
MA0659.1	MAFG	ENSG00000197063
MA0660.1	MEF2B	ENSG00000213999
MA0661.1	MEOX1	ENSG00000005102
MA0662.1	MIXL1	ENSG00000185155
MA0663.1	MLX	ENSG00000108788
MA0664.1	MLXIPL	ENSG00000009950
MA0665.1	MSC	ENSG00000178860
MA0666.1	MSX1	ENSG00000163132
MA0667.1	MYF6	ENSG00000111046
MA0668.1	NEUROD2	ENSG00000171532
MA0669.1	NEUROG2	ENSG00000178403
MA0670.1	NFIA	ENSG00000162599
MA0671.1	NFIX	ENSG00000008441
MA0672.1	NKX2-3	ENSG00000119919
MA0673.1	NKX2-8	ENSG00000136327
MA0674.1	NKX6-1	ENSG00000163623
MA0675.1	NKX6-2	ENSG00000148826
MA0676.1	NR2E1	ENSG00000112333
MA0677.1	NR2F6	ENSG00000160113
MA0678.1	OLIG2	ENSG00000205927
MA0679.1	ONECUT1	ENSG00000169856
